API10,API12,Abstract,ActiveCommonName,ActiveTickerName,AmendmentFiledDate,ApprovedDate,Block,BottomHoleLatitudeWGS84,BottomHoleLongitudeWGS84,ContactName,ContactPhone,CountyParish,CreatedDate,DIBasin,DICountryCode,DICountryName,DICountyParishName,DIPlay,DIStateProvinceCode,DIStateProvinceName,DISubPlay,DeletedDate,District,DrillType,ExpiredDate,Field,Formation,H2SArea,LeaseName,LeaseNumber,OFSRegion,OperatorAddress,OperatorAlias,OperatorCity,OperatorCity30mi,OperatorCity50mi,OperatorState,OperatorZip,OrigApprovedDate,PermitDepth,PermitDepthUOM,PermitID,PermitNumber,PermitStatus,PermitType,Range,ReportedOperator,Section,StateProvince,SubmittedDate,SurfaceLatitudeWGS84,SurfaceLongitudeWGS84,Survey,Township,TrueVerticalDepth,TrueVerticalDepthUOM,UpdatedDate,WGID,WellNumber,WellStatus,WellType
4232942138,,907,CROWNQUEST OPERATING,,,2018-01-18T00:00:00Z,37 T3S,31.8856864,-101.8564761,ANN RITCHIE,4326846381,MIDLAND,2018-01-19T09:16:45.273Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-01-18T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,FR CATALYST C 94,,PERMIAN BASIN,PO BOX 53310,CROWNQUEST OPERATING,MIDLAND,Midland,Midland,TX,79710,2018-01-18T00:00:00Z,9600,ft,1359361,833722,Expired,NewDrill,,"CROWNQUEST OPERATING, LLC",4,TX,2017-11-30T00:00:00Z,31.9129337,-101.8652994,"T&P RR CO/FOWLER, F A",,,,2020-08-10T07:39:23.707Z,18988734,3BB,CANCELLED,OIL & GAS
4232942134,,907,CROWNQUEST OPERATING,,,2017-12-07T00:00:00Z,37 T3S,31.8847692,-101.8604942,ANN RITCHIE,4326846381,MIDLAND,2017-12-08T19:50:43.41Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-07T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,FR CATALYST B 94,,PERMIAN BASIN,PO BOX 53310,CROWNQUEST OPERATING,MIDLAND,Midland,Midland,TX,79710,2017-12-07T00:00:00Z,9600,ft,1359347,833713,Expired,NewDrill,,"CROWNQUEST OPERATING, LLC",4,TX,2017-11-30T00:00:00Z,31.9120075,-101.8693264,"T&P RR CO/ FOWLER, F A",,,,2020-08-10T07:39:23.707Z,18984861,2BB,EXPIRED PERMIT,OIL & GAS
4232942137,,907,CROWNQUEST OPERATING,,,2018-03-14T00:00:00Z,37 T3S,31.8866039,-101.8524575,ANN RITCHIE,4326846381,MIDLAND,2018-03-15T09:07:42.76Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2020-03-14T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,FR CATALYST D 94,,PERMIAN BASIN,PO BOX 53310,CROWNQUEST OPERATING,MIDLAND,Midland,Midland,TX,79710,2018-03-14T00:00:00Z,9600,ft,1359332,833716,Expired,NewDrill,,"CROWNQUEST OPERATING, LLC",4,TX,2017-11-30T00:00:00Z,31.91386,-101.8612717,"T&P RR CO/FOWLER, F A",,,,2020-08-10T07:39:23.707Z,18994263,4BB,CANCELLED,OIL & GAS
4232942140,,297,CONCHO RESOURCES,CXO,2018-01-03T00:00:00Z,2017-12-11T00:00:00Z,40 T4S,31.6904815,-102.1125005,MICHELLE LANGSTON,4326837443,MIDLAND,2018-01-04T20:09:54.903Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-11T00:00:00Z,PEGASUS,CONSOLIDATED,FALSE,WINDHAM TXL C5,20133,PERMIAN BASIN,600 W ILLINOIS AVE,CONCHO OPERATING,MIDLAND,Midland,Midland,TX,79701,2017-12-11T00:00:00Z,11000,ft,1359320,833676,Expired,NewDrill,,COG OPERATING LLC,9,TX,2017-11-29T00:00:00Z,31.7119847,-102.1202867,T&P RR CO,,9566,ft,2020-08-10T07:39:23.707Z,18985112,5307BH,ACTIVE,OIL
4232942141,,297,CONCHO RESOURCES,CXO,2018-01-02T00:00:00Z,2017-12-11T00:00:00Z,40 T4S,31.6900348,-102.1125208,MICHELLE LANGSTON,4326837443,MIDLAND,2018-01-03T21:19:16.88Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-11T00:00:00Z,PEGASUS,CONSOLIDATED,FALSE,WINDHAM TXL C4,20157,PERMIAN BASIN,600 W ILLINOIS AVE,CONCHO OPERATING,MIDLAND,Midland,Midland,TX,79701,2017-12-11T00:00:00Z,11000,ft,1359315,833696,Expired,NewDrill,,COG OPERATING LLC,9,TX,2017-11-30T00:00:00Z,31.711868,-102.1202478,T&P RR CO,,8983,ft,2020-08-10T07:39:23.707Z,18985113,5307LH,ACTIVE,OIL
4232942144,,156,PARSLEY ENERGY,PE,2018-04-16T00:00:00Z,2017-12-04T00:00:00Z,38 T2S,31.996664,-102.027305,BRETT MEYER,5126008822,MIDLAND,2018-04-17T20:22:25.607Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,V,2019-12-04T00:00:00Z,SPRABERRY,TREND AREA,FALSE,RANCHLAND 5,52230,PERMIAN BASIN,303 COLORADO ST,PARSLEY ENERGY,AUSTIN,,San Antonio,TX,78701,2017-12-04T00:00:00Z,5550,ft,1359300,833688,Expired,NewDrill,,"PARSLEY ENERGY OPERATIONS, LLC",5,TX,2017-11-30T00:00:00Z,31.996664,-102.027305,T&P RR CO,,5550,ft,2020-08-10T07:39:23.707Z,18984404,2D,ACTIVE,INJECTION
4232942139,,662,"PERMIAN DEEP ROCK OIL CO., LLC",,2018-03-27T00:00:00Z,2017-12-01T00:00:00Z,39 T2S,31.9981188,-102.05503,DEBBIE WHITING,4326826685,MIDLAND,2018-03-28T20:18:16.97Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-01T00:00:00Z,SPRABERRY,TREND AREA) R 40 EXC,FALSE,BULLDOG,51022,PERMIAN BASIN,PO BOX 11405,PERMIAN DEEP ROCK OIL CO  ,MIDLAND,Midland,Midland,TX,79702,2017-12-01T00:00:00Z,11800,ft,1359297,833684,Expired,NewDrill,,"PERMIAN DEEP ROCK OIL CO., LLC",12,TX,2017-11-29T00:00:00Z,31.9757077,-102.0476276,"GARDNER, J E",,10296,ft,2020-08-10T07:39:23.707Z,18984240,H140UX,ACTIVE,OIL & GAS
4232942113,,703,ENDEAVOR ENERGY RESOURCES,,2018-04-03T00:00:00Z,2017-11-29T00:00:00Z,38 T1S,32.011701,-102.0233009,MARTINA WARREN,4322624179,MIDLAND,2018-04-05T05:46:40.823Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,V,2019-11-29T00:00:00Z,SPRABERRY,TREND AREA,FALSE,ELKIN 44,49979,PERMIAN BASIN,110 N MARIENFELD ST SUITE 200,ENDEAVOR ENERGY,MIDLAND,Midland,Midland,TX,79701,2017-11-29T00:00:00Z,11000,ft,1359228,833602,Expired,NewDrill,,ENDEAVOR ENERGY RESOURCES L.P.,44,TX,2017-11-28T00:00:00Z,32.011701,-102.0233009,"T&P RR CO/HOLLINGSWORTH, J W",,11000,ft,2020-08-10T07:39:23.707Z,18983844,2,ACTIVE,OIL
4232942136,,297,CONCHO RESOURCES,CXO,2018-01-08T00:00:00Z,2017-12-12T00:00:00Z,40 T4S,31.6890968,-102.1163499,MICHELLE LANGSTON,4326837443,MIDLAND,2018-01-09T20:08:50.15Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-12T00:00:00Z,PEGASUS,CONSOLIDATED,FALSE,WINDHAM TXL C12,20091,PERMIAN BASIN,600 W ILLINOIS AVE,CONCHO OPERATING,MIDLAND,Midland,Midland,TX,79701,2017-12-12T00:00:00Z,11000,ft,1359213,833576,Expired,NewDrill,,COG OPERATING LLC,9,TX,2017-11-27T00:00:00Z,31.7117714,-102.1234812,T&P RR CO,,9653,ft,2020-08-10T07:39:23.707Z,18985168,5305BH,ACTIVE,OIL
4232934444,,783,ENDEAVOR ENERGY RESOURCES,,,2017-11-29T00:00:00Z,41 T3S,31.7565124,-102.1905752,MARTINA WARREN,4322624179,MIDLAND,2017-11-30T19:51:13.95Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,V,2019-11-29T00:00:00Z,SPRABERRY,TREND AREA,FALSE,PARKS '36',37081,PERMIAN BASIN,110 N MARIENFELD ST SUITE 200,ENDEAVOR ENERGY,MIDLAND,Midland,Midland,TX,79701,2017-11-29T00:00:00Z,11100,ft,1359193,833551,Expired,FieldTransfer,,ENDEAVOR ENERGY RESOURCES L.P.,36,TX,2017-11-27T00:00:00Z,31.7565124,-102.1905752,"T&P RR CO/ESTES, H P",,11100,ft,2020-08-10T07:39:23.707Z,17810361,3,ACTIVE,OIL
